MMSI	Speed (knots)	COG (degrees)	Destination	Ship type	Gross tonnage	Length (m)	Breadth (m)
230212000	9.5	64.8	Vyborg	Cargo	2069	80.1	12.4
219082000	8.9	89.9	Vyborg	Cargo	4842	115.0	16.0
245301000	8.1	74.5	Vuosaari	Cargo	28599	268.1	27.0
230984090	7.5	75.7	Vuosaari	Cargo	17360	178.6	27.7
210974000	10.9	72.7	Vuosaari	Cargo	17368	168.1	25.8
538090268	7.4	73.1	Vuosaari	Cargo	10585	151.7	23.4
245241000	9.4	74.5	Vysotsk	Tanker	4979	139.9	16.9
276832000	11.2	73.7	Vysotsk	Tanker	23240	183.0	27.4
220124000	10.0	74.6	Vysotsk	Tanker	4979	139.9	16.7
231844000	8.7	85.4	Helsinki	Tug	100	15.0	5.0
219083000	11.6	74.8	Hamina	Tanker	9980	141.2	21.6
235060255	11.7	80.9	Primorsk	Tanker	23353	184.0	27.7
244092000	14.7	79.2	Porvoo	Tanker	7833	117.8	18.6
247661000	11.7	76.4	Porvoo	Tanker	7071	120.8	16.4
249997000	9.2	89.6	Ust-Luga	Tanker	60751	255.9	44.0
259768000	11.8	80.3	Porvoo	Tanker	11935	144.1	23.2
273388150	9.8	68.7	Vysotsk	Tanker	5075	140.9	16.9
477043500	12.0	77.5	Muuga	Tanker	61990	247.0	44.0
538002774	11.6	67.4	Porvoo	Tanker	30641	195.0	32.2
538002778	11.4	74.7	Porvoo	Tanker	30641	195	32.2
538003321	12.7	79.5	Ust-Luga	Tanker	62775	250.0	44.0
636015565	12.4	81.3	Primorsk	Tanker	66855	249.9	46.0
212436000	13.5	77.1	Hamina	Tanker	6280	116.9	18.0
212464000	13.5	84.7	Muuga	Tanker	6556	116.9	18.0
215555000	13.8	74.0	Ust-Luga	Tanker	29327	183.0	32.2
219178000	11.8	73.3	Porvoo	Tanker	7636	129.8	19.9
219426000	11.9	56.3	Hamina	Tanker	3219	99.9	15.0
229998000	11.7	71.0	Hamina	Tanker	4364	122.0	16.0
230965000	10.7	70.2	Porvoo	Tanker	15980	169.5	23.8
245229000	12.3	64.1	Porvoo	Tanker	1825	79.4	13.8
249856000	12.1	69.8	Ust-Luga	Tanker	61000	249.9	43.8
255714000	13.3	60.3	Porvoo	Tanker	3785	100.0	17.0
255735000	13.6	72.2	Porvoo	Tanker	3790	99.9	16.5
256656000	11.6	59.3	Porvoo	Tanker	3235	94.9	14.5
256827000	9.8	86.5	Muuga	Tanker	7833	150.2	17.3
259721000	12.3	69.7	Kronshtadt	Tanker	8829	134.7	20.8
370756000	12.8	82.5	Ust-Luga	Tanker	28777	180.0	32.2
538002775	12.7	94.3	Ust-Luga	Tanker	30641	195.2	32.2
538090534	10.7	82.5	Ust-Luga	Tanker	61320	250.0	43.8
636012813	11.4	77.0	Ust-Luga	Tanker	65293	250.0	44.1
636014353	12.0	74.1	Primorsk	Tanker	62504	250.0	44.0
636016752	11.7	74.6	Porvoo	Tanker	3853	92.9	15.3
